iter	Passed	Remaining
0	56	56235
1	56	28377
2	57	19088
3	57	14418
4	58	11582
5	58	9690
6	58	8337
7	59	7324
8	59	6538
9	59	5908
10	59	5390
11	60	4963
12	60	4600
13	60	4285
14	61	4020
15	61	3782
16	61	3573
17	62	3386
18	62	3222
19	62	3076
20	63	2941
21	63	2816
22	63	2704
23	63	2599
24	64	2503
25	64	2415
26	64	2333
27	65	2257
28	65	2188
29	65	2122
30	65	2059
31	66	2003
32	66	1948
33	66	1896
34	67	1847
35	67	1800
36	67	1757
37	67	1716
38	68	1677
39	68	1641
40	68	1605
41	69	1574
42	69	1542
43	69	1511
44	69	1481
45	70	1453
46	70	1426
47	70	1401
48	70	1377
49	71	1354
50	71	1331
51	71	1309
52	72	1289
53	72	1268
54	72	1249
55	73	1230
56	73	1212
57	73	1194
58	73	1176
59	74	1160
60	74	1143
61	74	1128
62	74	1113
63	75	1098
64	75	1084
65	75	1070
66	75	1057
67	76	1042
68	76	1029
69	76	1017
70	76	1005
71	77	993
72	77	982
73	77	971
74	77	960
75	78	949
76	78	939
77	78	929
78	78	919
79	79	910
80	79	901
81	79	892
82	79	883
83	80	875
84	80	866
85	80	858
86	80	848
87	81	840
88	81	833
89	81	826
90	82	819
91	82	813
92	82	806
93	82	799
94	83	792
95	83	786
96	83	779
97	84	773
98	84	766
99	84	760
100	84	754
101	84	747
102	85	741
103	85	736
104	85	730
105	86	725
106	86	720
107	86	715
108	86	709
109	87	704
110	87	699
111	87	694
112	87	689
113	88	685
114	88	680
115	88	675
116	88	670
117	89	666
118	89	661
119	89	657
120	89	653
121	90	648
122	90	643
123	90	639
124	90	635
125	91	631
126	91	627
127	91	622
128	91	618
129	91	615
130	92	611
131	92	608
132	92	605
133	93	602
134	93	598
135	93	595
136	93	591
137	94	587
138	94	584
139	94	581
140	94	578
141	95	575
142	95	571
143	95	568
144	95	565
145	96	562
146	96	559
147	96	556
148	96	553
149	97	550
150	97	547
151	97	544
152	97	542
153	98	539
154	98	536
155	98	534
156	99	531
157	99	528
158	99	526
159	99	523
160	100	521
161	100	518
162	100	516
163	100	514
164	101	511
165	101	509
166	101	507
167	101	505
168	102	502
169	102	500
170	102	498
171	103	495
172	103	493
173	103	491
174	103	489
175	104	487
176	104	485
177	104	483
178	105	481
179	105	479
180	105	476
181	105	474
182	105	472
183	106	470
184	106	468
185	106	467
186	107	465
187	107	463
188	107	461
189	107	459
190	108	457
191	108	455
192	108	453
193	108	451
194	109	450
195	109	448
196	109	447
197	109	445
198	110	443
199	110	441
200	110	440
201	111	438
202	111	436
203	111	435
204	111	433
205	112	431
206	112	430
207	112	428
208	112	427
209	113	425
210	113	424
211	113	422
212	114	421
213	114	420
214	114	418
215	114	417
216	115	415
217	115	413
218	115	412
219	115	411
220	116	409
221	116	407
222	116	406
223	116	405
224	117	403
225	117	402
226	117	400
227	118	399
228	118	398
229	118	396
230	118	395
231	119	394
232	119	392
233	119	391
234	119	390
