iter	Passed	Remaining
0	59	59615
1	60	30015
2	60	20163
3	61	15220
4	61	12246
5	62	10284
6	62	8866
7	62	7801
8	63	6973
9	63	6313
10	64	5770
11	64	5319
12	65	4935
13	65	4605
14	65	4320
15	66	4070
16	66	3853
17	67	3663
18	67	3491
19	68	3334
20	68	3190
21	68	3059
22	69	2940
23	69	2831
24	70	2737
25	70	2649
26	71	2568
27	71	2489
28	72	2419
29	72	2358
30	73	2298
31	74	2238
32	74	2181
33	74	2127
34	75	2076
35	75	2032
36	76	1987
37	76	1944
38	77	1902
39	77	1863
40	78	1824
41	78	1789
42	78	1756
43	79	1723
44	79	1691
45	80	1662
46	80	1633
47	80	1605
48	81	1579
49	81	1553
50	82	1529
51	82	1506
52	83	1484
53	83	1463
54	83	1442
55	84	1421
56	84	1402
57	85	1383
58	85	1365
59	86	1347
60	86	1330
61	86	1314
62	87	1298
63	87	1282
64	88	1267
65	88	1252
66	88	1238
67	89	1225
68	89	1211
69	90	1198
70	90	1185
71	90	1172
72	91	1159
73	91	1148
74	92	1136
75	92	1124
76	92	1113
77	93	1102
78	93	1092
79	94	1081
80	94	1072
81	94	1062
82	95	1050
83	95	1041
84	95	1032
85	96	1023
86	96	1015
87	97	1007
88	97	999
89	97	990
90	98	983
91	98	975
92	99	967
93	99	960
94	99	952
95	100	945
96	100	938
97	101	931
98	101	924
99	102	918
100	102	911
101	102	905
102	103	898
103	103	892
104	104	886
105	104	880
106	104	874
107	105	869
108	105	863
109	106	857
110	106	852
111	106	847
112	107	841
113	107	836
114	107	831
115	108	825
116	108	820
117	109	815
118	109	811
119	109	806
120	110	802
121	110	797
122	111	792
123	111	788
124	112	784
125	112	780
126	112	775
127	113	770
128	113	766
129	113	762
130	114	758
131	114	753
132	115	750
133	115	746
134	115	742
135	116	738
136	116	734
137	116	730
138	117	727
139	117	724
140	118	720
141	118	715
142	118	712
143	119	708
144	119	705
145	120	702
146	120	698
147	120	695
148	121	692
149	121	689
150	122	686
151	122	683
152	122	679
153	123	676
154	123	673
155	123	670
156	124	667
157	124	664
158	125	662
159	125	659
160	125	655
161	126	653
162	126	650
163	127	647
164	127	644
165	127	642
166	128	639
167	128	637
168	129	635
169	129	632
170	130	630
171	130	629
172	131	627
173	131	624
174	132	622
175	132	619
176	132	617
177	133	615
178	133	613
179	134	610
180	134	608
181	134	606
182	135	604
183	135	601
184	136	599
185	136	597
186	136	595
187	137	592
188	137	590
189	138	588
190	138	586
191	139	584
192	139	583
193	139	581
194	140	579
195	140	577
196	141	575
197	141	573
198	142	571
199	142	569
200	142	567
201	143	565
202	143	563
203	144	562
204	144	560
205	144	558
206	145	556
207	145	554
208	146	553
209	146	551
210	147	550
211	147	549
212	148	547
213	148	546
214	149	544
215	149	542
216	150	541
217	150	539
218	150	538
219	151	536
220	151	534
221	152	533
222	152	532
223	153	531
224	153	529
225	154	527
226	154	526
227	154	524
228	155	522
229	155	521
230	156	519
231	156	517
232	156	516
233	157	514
234	157	513
235	158	511
236	158	509
237	158	509
238	159	507
239	159	506
240	160	504
241	160	503
242	161	502
243	161	500
244	162	499
245	162	498
246	163	497
247	163	496
248	164	496
249	164	494
250	165	493
251	165	492
252	166	491
253	166	489
254	167	488
255	167	486
256	167	485
257	168	483
258	168	482
259	169	481
260	169	480
261	170	478
262	170	477
263	170	476
264	171	474
265	171	473
266	171	471
267	172	470
268	172	469
269	173	468
270	173	466
271	173	465
272	174	464
273	174	463
274	175	462
275	175	461
276	176	460
277	176	459
278	177	457
279	177	456
280	178	455
281	178	454
282	179	453
283	179	452
284	179	451
285	180	450
286	180	449
287	181	448
288	181	446
289	182	445
290	182	444
291	182	443
292	183	442
293	183	440
294	184	439
295	184	438
296	184	437
297	185	436
298	185	435
299	185	433
